"filename", "language", "C++", "CMake", "YAML", "JSON", "Markdown", "Dart", "HTML", "Swift", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\join_group_page.dart", "Dart", 0, 0, 0, 0, 0, 782, 0, 0, 0, 0, 79, 85, 946
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\journal_page.dart", "Dart", 0, 0, 0, 0, 0, 556, 0, 0, 0, 0, 34, 21, 611
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\login_page.dart", "Dart", 0, 0, 0, 0, 0, 670, 0, 0, 0, 0, 41, 57, 768
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\pdf_viewer_screen.dart", "Dart", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 7, 14, 173
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\profile_setup_page.dart", "Dart", 0, 0, 0, 0, 0, 1079, 0, 0, 0, 0, 58, 76, 1213
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_message.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 7, 9, 81
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_service.dart", "Dart", 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 40, 57, 391
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 765, 0, 0, 0, 0, 54, 72, 891
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\startup_page.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 16, 20, 218
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\user_profile_page.dart", "Dart", 0, 0, 0, 0, 0, 1432, 0, 0, 0, 0, 119, 173, 1724
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\widgets\social_button.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 4, 29
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\pubspec.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 60, 16, 111
"c:\Users\Ivy\Downloads\Fultter\attempt1\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Ivy\Downloads\Fultter\attempt1\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\Ivy\Downloads\Fultter\attempt1\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.cc", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugins.cmake", "CMake", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 559, 467, 38, 278, 25, 19263, 19, 71, 8, 470, 1806, 2201, 25205
