"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\ai_learning_page.dart", "Dart", -1, 0, 0, -1
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\constants.dart", "Dart", 0, -9, 0, -9
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\text_formatter.dart", "Dart", -4, -29, -2, -35
"Total", "-", -5, -38, -2, -45
