Date : 2025-04-05 17:12:42
Directory : c:\Users\Ivy\Downloads\Fultter\attempt1
Total : 94 files,  30229 codes, 2491 comments, 3129 blanks, all 35849 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\CMakeLists.txt                                   | CMake           |         21 |          0 |          6 |         27 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\main.cc                                          | C++             |          5 |          0 |          2 |          7 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.cc                                | C++             |         83 |         21 |         27 |        131 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.h                                 | C++             |          7 |          7 |          5 |         19 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift           |         30 |          3 |          4 |         37 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\RunnerTests\RunnerTests.swift                           | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\AppDelegate.swift                                | Swift           |         11 |          0 |          3 |         14 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON            |         68 |          0 |          1 |         69 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Base.lproj\MainMenu.xib                          | XML             |        343 |          0 |          1 |        344 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\MainFlutterWindow.swift                          | Swift           |         12 |          0 |          4 |         16 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\package-lock.json                                             | JSON            |          6 |          0 |          1 |          7 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\package.json                                                  | JSON            |          1 |          0 |          1 |          2 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\pubspec.yaml                                                  | YAML            |         55 |         61 |         20 |        136 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\test\widget_test.dart                                         | Dart            |         14 |         10 |          7 |         31 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\web\index.html                                                | HTML            |         19 |         15 |          5 |         39 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\web\manifest.json                                             | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\CMakeLists.txt                                        | CMake           |         89 |          0 |         20 |        109 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\CMakeLists.txt                                | CMake           |         98 |          0 |         12 |        110 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.cc                | C++             |         27 |          4 |          5 |         36 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.h                 | C++             |          5 |          5 |          6 |         16 |
